"filename", "language", "JSON with Comments", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/.eslintrc.json", "JSON with Comments", -3, 0, 0, 0, 0, 0, -3
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/LICENSE.md", "Markdown", 0, 0, -17, 0, 0, -5, -22
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/README.md", "Markdown", 0, 0, -15, 0, 0, -4, -19
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/documentation/development.md", "Markdown", 0, 0, -18, 0, 0, -13, -31
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/documentation/reflection.md", "Markdown", 0, 0, -39, 0, 0, -21, -60
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/documentation/testing.md", "Markdown", 0, 0, -3, 0, 0, -1, -4
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/jest.config.js", "JavaScript", 0, 0, 0, -4, -6, -3, -13
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/package-lock.json", "JSON", 0, -6909, 0, 0, 0, -1, -6910
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/package.json", "JSON", 0, -23, 0, 0, 0, -1, -24
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/invoice.test.js", "JavaScript", 0, 0, 0, -68, -3, -13, -84
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/order.test.js", "JavaScript", 0, 0, 0, -220, -3, -46, -269
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/product.test.js", "JavaScript", 0, 0, 0, -82, -3, -23, -108
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/productCatalog.test.js", "JavaScript", 0, 0, 0, -73, -3, -16, -92
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/store.test.js", "JavaScript", 0, 0, 0, -57, -3, -17, -77
"Total", "-", -3, -6932, -92, -504, -21, -164, -7716
